first_name,last_name,DOB,state,profit
Aundrea,Outridge,2001-01-24,VIC,602.3534449203444
Tomaso,Horsley,2001-04-16,VIC,602.1179259779857
Tanya,Hamberston,2000-09-25,QLD,601.0960944405817
Ailyn,Howgate,2001-09-27,QLD,598.2398821575607
Kelcie,Kingaby,2000-03-24,QLD,595.5056465032462
Giulietta,Garbott,2002-02-27,VIC,592.9334426512992
Jacobo,Mucklow,1952-12-04,VIC,592.0583520277722
Isa,Fominov,2001-06-21,NSW,589.2143286364997
Hersh,Stubbert,2000-06-25,QLD,588.4906603985767
Lura,Fawdrie,2002-01-17,QLD,587.790256199462
Isak,Bergstram,2001-03-08,NSW,585.6212592240377
Arleen,Casbolt,1975-05-10,QLD,583.2967119542994
Evangelin,Boc,2000-05-09,VIC,582.7476808208139
Kiley,Grunder,1994-04-17,QLD,582.4831246643283
Cristie,Bence,2000-04-17,QLD,582.4513073024938
Link,Gorini,1974-11-09,QLD,582.389001156256
Gregg,Aimeric,,VIC,581.6859641041453
Skipp,Swales,1973-11-14,VIC,580.052801377151
Dmitri,,1991-02-06,VIC,579.9375974351818
Adolpho,Bellerby,1944-10-25,QLD,579.7287722761431
Moina,Rosenbaum,2001-08-04,VIC,579.5760482026951
Karoly,Burgoine,1947-04-06,VIC,579.1863665191133
Manya,Abramovici,1955-07-17,QLD,578.4335015166708
Harlene,Nono,,NSW,577.3312486994928
Tomkin,Bernlin,2001-12-29,NSW,576.2762680274433
Pansie,Beccero,1964-07-07,QLD,576.1625215917695
Leona,Shorrock,1951-08-23,QLD,575.7154912568669
Taylor,Steuhlmeyer,1999-03-22,QLD,575.3406900878566
Keenan,Moriarty,1994-12-23,QLD,575.0998117726676
Burk,Wortley,2001-10-17,NSW,574.8419877073683
Tobiah,Heinsius,2000-01-25,NSW,574.7520779856096
Alex,Patshull,1966-01-02,QLD,574.4590534181115
Lillis,Eshmade,1974-10-12,QLD,574.4475369889585
Melosa,McOwan,2001-04-17,NSW,574.3412596717773
Simmonds,Bapty,2002-01-04,NSW,573.9882066689096
Bastien,Ibbeson,1976-11-04,NSW,573.8581037956758
Erhard,O'Moylane,1978-05-27,VIC,573.7585808231952
Cord,Dunsmore,1999-04-21,QLD,573.6702634871127
Gerta,Porrett,1959-11-13,VIC,573.6496057496073
Normy,Goodinge,,VIC,573.5072203898675
Ellsworth,Andrieux,1971-04-26,QLD,572.6417400531159
Norah,Mapis,2000-12-09,NSW,572.395550153925
Emelia,Ackwood,1988-09-30,QLD,571.9586021995024
Gunner,Petti,1999-06-08,QLD,571.9363007544199
Roth,Crum,,NSW,571.9219598434416
Reinhard,Oscroft,1950-03-18,VIC,571.8350779603331
Judi,Cazereau,1997-03-03,VIC,571.8085336743907
Andrew,Froment,1977-07-19,VIC,571.7203443508635
Gerik,Woodroof,1959-06-13,VIC,571.6448563159382
Tracy,Andrejevic,,VIC,571.3464251866855
Palmer,Heaven,1995-05-18,VIC,571.2203010655647
Farris,Skettles,1965-07-03,VIC,570.9874534575971
Melloney,Temby,1954-10-05,QLD,570.9172185516245
Chicky,Sinclar,,VIC,570.7678765442228
Rand,Winchcum,2000-04-10,NSW,570.7565705048924
Reinold,Natt,1964-08-23,VIC,570.5402084130856
Burt,Vasechkin,1950-04-15,VIC,570.3103583084893
Barth,Sapshed,1994-06-16,QLD,570.251926029256
Ebony,Conrad,1999-10-24,VIC,570.1209481127503
Lucien,,1966-09-14,QLD,569.9471061808214
Zollie,Crinidge,1988-01-10,QLD,569.850440137875
Jammal,Devenny,1999-05-14,VIC,569.5950878511845
Shadow,Yakutin,1967-02-03,QLD,569.572989674253
Arty,Fontelles,1994-10-21,VIC,569.1974429554693
Ogdan,Blenkinship,1951-01-18,VIC,569.1326192995547
Paten,Cayet,1995-02-19,VIC,568.7851682653347
George,Jose,1960-12-19,QLD,568.6658720286421
Ansell,Tolhurst,1949-08-11,NSW,568.5446450409654
Agneta,McAmish,,QLD,568.3417440385933
Tannie,Petrakov,1951-11-27,QLD,568.2637360927133
Kissie,Line,2000-05-20,NSW,568.034017497221
Cami,Barnbrook,1963-01-01,QLD,568.0062577332207
Cal,Van den Velde,1996-03-18,VIC,567.9993609682623
Sheena,Kybbye,1956-07-16,QLD,567.7812525120792
Meriel,Tapp,1995-08-13,VIC,567.6393174865952
Julita,Prene,1979-05-16,QLD,567.6028993577586
Ariel,McCloid,1994-03-13,VIC,567.2935487523499
Seymour,Fellibrand,1971-10-11,QLD,567.2588874020213
Garreth,Minett,1961-05-23,VIC,567.2099786500631
Estevan,Eastment,1942-08-09,NSW,567.2063476808236
Deana,Canton,1974-11-25,QLD,567.0607894078365
Shaw,MacEvilly,2000-05-06,NSW,567.0210890226307
Roberta,Goodale,1947-02-28,QLD,566.6582697726044
Kearney,Cuddehy,1997-05-18,QLD,566.3640857054905
Melany,Ladewig,1972-05-17,QLD,566.2260831763598
Bink,Bentje,1957-03-23,NSW,566.1300562283398
Nancie,Vian,1972-12-27,QLD,566.0127683387949
Garik,Whitwell,1955-06-13,VIC,566.0002984312656
Gregorius,Leal,1951-04-29,NSW,565.867359661252
Mikol,Eck,1975-07-25,QLD,565.7083823202297
Rodolph,Denniss,1974-08-07,VIC,565.6647125365604
Cristen,Wiltshire,1961-10-20,VIC,565.648936864408
Rochette,Haddacks,1996-05-10,VIC,565.5741919361282
Darwin,Bumpas,1978-12-27,VIC,565.1789140379742
Clotilda,Southers,1999-11-08,NSW,565.054834484365
Jacqui,Devey,1995-10-01,NSW,564.9304726523658
Agace,Hedge,1997-07-23,VIC,564.8759357590216
Feodor,Englishby,1961-08-14,VIC,564.8605067397342
Jesse,Crosio,1994-04-15,VIC,564.8584020554022
Dory,Malpass,1972-08-27,QLD,564.8229970345118
Marinna,Kauschke,1973-03-15,VIC,564.7686255879994
Delcina,Hursey,1968-12-26,QLD,564.5969169482491
Amara,Clow,1966-11-17,VIC,564.5290476864204
Free,Rowland,1956-05-17,VIC,564.4903258061123
Porty,Hansed,,NSW,564.425658706751
Esdras,Birchett,1950-12-09,NSW,564.292797050124
Diego,Van den Broek,1964-09-28,QLD,564.2905840314609
Andree,Breeds,1954-10-19,VIC,564.2581065482118
Morton,Petkens,1990-11-13,VIC,564.178589088166
Fitzgerald,Hellikes,1979-07-28,VIC,564.1036523156625
Joane,Caldes,1978-03-17,NSW,563.9818784169679
Bertine,Smalles,1983-12-10,VIC,563.9592429520702
Otha,Langworthy,1967-01-20,VIC,563.8689404812136
Rozamond,Turtle,,VIC,563.8364900208115
Sharline,Abyss,1960-03-18,QLD,563.7144460150844
Kellyann,Adshad,1940-06-07,NSW,563.704940933231
Cristen,Maroney,1999-11-21,QLD,563.7046376500865
Eddy,Sturch,1961-02-11,QLD,563.5374315930702
Druci,Brandli,1951-04-29,QLD,563.5116433738856
Grannie,Cracker,1949-03-06,QLD,563.458856474354
Gannie,Bargh,1955-02-13,VIC,563.3995353688595
Shay,Briand,1956-10-05,VIC,563.2919325188225
